"Model","Resistance","Estimate","StdError","PercentEffect"
"scn_covariate","Peking",-69.9,135.1,-1.4
"scn_covariate","PI88788",-131.2,148.3,-2.5
"ar1","Peking",-25.3,123.8,-0.5
"ar1","PI88788",-99.8,135.3,-2
"ar1_nugget","Peking",-16.2,123.4,-0.3
"ar1_nugget","PI88788",-98.9,130.2,-1.9
"ta","Peking",8.5,125.8,0.2
"ta","PI88788",-80.6,131.4,-1.5
"tps","Peking",-38,128.5,-0.7
"tps","PI88788",-118.6,133.4,-2.3
